,Unnamed: 0,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Time Series_ist,Duration
32,532,2,2018-12-31 23:54:23,2019-01-01 00:07:45,1,6.57,4,N,132,265,1,21.5,0.5,0.5,5.7,0.0,0.3,28.5,2019-01-01 05:37:45+05:30,13
33,533,2,2018-12-31 23:54:22,2019-01-01 00:09:37,1,3.0,1,N,239,75,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3,2019-01-01 05:39:37+05:30,15
34,534,2,2018-12-31 23:54:22,2018-12-31 23:58:45,1,0.83,1,N,244,244,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,2019-01-01 05:28:45+05:30,4
35,535,1,2018-12-31 23:54:21,2018-12-31 23:57:38,1,0.0,1,N,186,68,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2019-01-01 05:27:38+05:30,3
36,536,2,2018-12-31 23:54:19,2018-12-31 23:54:34,5,0.0,5,N,265,265,1,52.0,0.0,0.0,10.46,0.0,0.3,62.76,2019-01-01 05:24:34+05:30,0
37,537,2,2018-12-31 23:54:18,2019-01-01 00:24:00,2,20.23,5,N,138,265,1,100.0,0.0,0.5,21.31,5.76,0.3,127.87,2019-01-01 05:54:00+05:30,29
38,538,2,2018-12-31 23:54:18,2019-01-01 00:11:17,5,2.28,1,N,148,209,2,12.5,0.5,0.5,0.0,0.0,0.3,13.8,2019-01-01 05:41:17+05:30,16
39,539,2,2018-12-31 23:54:17,2018-12-31 23:58:05,1,0.32,1,N,142,48,1,4.5,0.5,0.5,5.0,0.0,0.3,10.8,2019-01-01 05:28:05+05:30,3
40,540,2,2018-12-31 23:54:16,2018-12-31 23:58:32,1,0.92,1,N,239,142,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,2019-01-01 05:28:32+05:30,4
41,541,2,2018-12-31 23:54:16,2019-01-01 00:02:07,1,1.23,1,N,113,113,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96,2019-01-01 05:32:07+05:30,7
42,542,2,2018-12-31 23:54:14,2019-01-01 00:03:14,1,1.65,1,N,236,238,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76,2019-01-01 05:33:14+05:30,9
43,543,2,2018-12-31 23:54:13,2019-01-01 00:27:01,5,11.76,1,N,132,188,1,35.5,0.5,0.5,7.36,0.0,0.3,44.16,2019-01-01 05:57:01+05:30,32
44,544,2,2018-12-31 23:54:12,2018-12-31 23:55:04,1,0.25,1,N,142,143,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,2019-01-01 05:25:04+05:30,0
45,545,1,2018-12-31 23:54:09,2019-01-01 00:07:27,2,0.9,1,N,148,114,1,9.5,0.5,0.5,50.0,0.0,0.3,60.8,2019-01-01 05:37:27+05:30,13
46,546,1,2018-12-31 23:54:08,2018-12-31 23:58:38,2,0.4,1,N,264,264,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,2019-01-01 05:28:38+05:30,4
47,547,4,2018-12-31 23:54:07,2019-01-01 00:01:30,1,0.79,1,N,170,90,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36,2019-01-01 05:31:30+05:30,7
48,548,1,2018-12-31 23:54:05,2019-01-01 00:02:22,2,1.3,1,N,142,237,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,2019-01-01 05:32:22+05:30,8
49,549,2,2018-12-31 23:54:05,2019-01-01 00:03:36,6,1.82,1,N,231,90,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76,2019-01-01 05:33:36+05:30,9
50,550,2,2018-12-31 23:54:05,2018-12-31 23:58:26,1,1.0,1,N,140,263,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,2019-01-01 05:28:26+05:30,4
51,551,2,2018-12-31 23:54:04,2019-01-01 00:02:05,1,0.86,1,N,113,234,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,2019-01-01 05:32:05+05:30,8
52,552,1,2018-12-31 23:54:03,2019-01-01 00:21:11,1,3.4,1,N,48,148,1,18.0,0.5,0.5,3.85,0.0,0.3,23.15,2019-01-01 05:51:11+05:30,27
53,553,2,2018-12-31 23:54:02,2019-01-01 00:17:34,1,4.3,1,N,244,74,2,18.0,0.5,0.5,0.0,0.0,0.3,19.3,2019-01-01 05:47:34+05:30,23
54,554,1,2018-12-31 23:54:00,2018-12-31 23:56:19,0,0.7,1,N,74,75,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2019-01-01 05:26:19+05:30,2
55,555,1,2018-12-31 23:54:00,2019-01-01 00:01:20,0,0.9,1,N,129,173,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,2019-01-01 05:31:20+05:30,7
56,556,2,2018-12-31 23:53:59,2019-01-01 23:34:21,1,1.13,1,N,234,246,1,14.5,0.5,0.5,0.0,0.0,0.3,15.8,2019-01-02 05:04:21+05:30,1420
57,557,2,2018-12-31 23:53:59,2018-12-31 23:57:55,6,1.18,1,N,151,166,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2019-01-01 05:27:55+05:30,3
58,558,1,2018-12-31 23:53:59,2019-01-01 00:16:36,2,3.3,1,N,264,264,1,16.5,0.5,0.5,2.2,0.0,0.3,20.0,2019-01-01 05:46:36+05:30,22
59,559,2,2018-12-31 23:53:58,2019-01-01 00:08:08,1,2.38,1,N,68,148,1,11.5,0.5,0.5,3.84,0.0,0.3,16.64,2019-01-01 05:38:08+05:30,14
60,560,2,2018-12-31 23:53:58,2019-01-01 00:19:39,1,4.6,1,N,79,262,1,19.0,0.5,0.5,4.06,0.0,0.3,24.36,2019-01-01 05:49:39+05:30,25
61,561,2,2018-12-31 23:53:56,2018-12-31 23:57:44,1,0.4,1,N,261,87,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,2019-01-01 05:27:44+05:30,3
62,562,1,2018-12-31 23:53:56,2019-01-01 00:34:15,4,23.8,1,N,138,265,2,62.5,0.5,0.5,0.0,16.26,0.3,80.06,2019-01-01 06:04:15+05:30,40
63,563,2,2018-12-31 23:53:56,2019-01-01 00:07:57,1,3.21,1,N,161,74,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3,2019-01-01 05:37:57+05:30,14
64,564,1,2018-12-31 23:53:55,2019-01-01 00:29:48,1,5.1,1,N,186,24,1,25.0,0.5,0.5,0.0,0.0,0.3,26.3,2019-01-01 05:59:48+05:30,35
65,565,2,2018-12-31 23:53:52,2019-01-01 00:03:36,5,2.33,1,N,233,140,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,2019-01-01 05:33:36+05:30,9
66,566,2,2018-12-31 23:53:51,2019-01-01 00:03:24,1,2.5,1,N,246,234,1,10.0,0.5,0.5,2.26,0.0,0.3,13.56,2019-01-01 05:33:24+05:30,9
67,567,2,2018-12-31 23:53:49,2019-01-01 00:00:56,1,0.78,1,N,79,79,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76,2019-01-01 05:30:56+05:30,7
68,568,2,2018-12-31 23:53:47,2019-01-01 00:01:03,5,1.06,1,N,231,148,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36,2019-01-01 05:31:03+05:30,7
69,569,1,2018-12-31 23:53:46,2019-01-01 00:06:03,1,3.0,1,N,48,238,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3,2019-01-01 05:36:03+05:30,12
70,570,1,2018-12-31 23:53:44,2019-01-01 00:15:35,1,9.3,1,N,144,42,2,28.0,0.5,0.5,0.0,0.0,0.3,29.3,2019-01-01 05:45:35+05:30,21
71,571,2,2018-12-31 23:53:44,2019-01-01 00:02:08,1,1.15,1,N,68,249,1,7.0,0.5,0.5,0.0,0.0,0.3,8.3,2019-01-01 05:32:08+05:30,8
72,572,2,2018-12-31 23:53:44,2018-12-31 23:55:08,1,0.42,1,N,239,142,1,3.5,0.5,0.5,0.96,0.0,0.3,5.76,2019-01-01 05:25:08+05:30,1
73,573,1,2018-12-31 23:53:43,2019-01-01 00:05:40,2,2.8,1,N,79,66,1,12.0,0.5,0.5,2.65,0.0,0.3,15.95,2019-01-01 05:35:40+05:30,11
74,574,2,2018-12-31 23:53:42,2019-01-01 00:12:21,2,2.21,1,N,142,142,1,13.0,0.5,0.5,3.58,0.0,0.3,17.88,2019-01-01 05:42:21+05:30,18
