,Unnamed: 0,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Time Series_ist,Duration
0,0,2,2084-11-04 12:32:24,2084-11-04 12:47:41,1,1.34,1,N,238,236,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8,2084-11-04 18:17:41+05:30,15
1,1,2,2084-11-04 12:32:24,2084-11-04 12:47:41,1,1.34,1,N,238,236,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8,2084-11-04 18:17:41+05:30,15
2,2,2,2084-11-04 12:25:53,2084-11-04 12:29:00,1,0.32,1,N,238,238,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8,2084-11-04 17:59:00+05:30,3
3,3,2,2084-11-04 12:25:53,2084-11-04 12:29:00,1,0.32,1,N,238,238,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8,2084-11-04 17:59:00+05:30,3
4,4,2,2084-11-04 12:08:33,2084-11-04 12:22:24,1,1.85,1,N,236,238,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8,2084-11-04 17:52:24+05:30,13
5,5,2,2084-11-04 12:08:33,2084-11-04 12:22:24,1,1.85,1,N,236,238,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8,2084-11-04 17:52:24+05:30,13
6,6,2,2084-11-04 11:41:35,2084-11-04 11:59:41,1,1.65,1,N,68,237,2,12.5,0.0,0.5,0.0,0.0,0.3,13.3,2084-11-04 17:29:41+05:30,18
7,7,2,2084-11-04 11:41:35,2084-11-04 11:59:41,1,1.65,1,N,68,237,2,12.5,0.0,0.5,0.0,0.0,0.3,13.3,2084-11-04 17:29:41+05:30,18
8,8,2,2084-11-04 11:27:28,2084-11-04 11:39:52,1,1.07,1,N,170,68,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8,2084-11-04 17:09:52+05:30,12
9,9,2,2084-11-04 11:27:28,2084-11-04 11:39:52,1,1.07,1,N,170,68,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8,2084-11-04 17:09:52+05:30,12
