,Unnamed: 0,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Time Series_ist,Duration
0,250,1,2018-12-31 23:59:21,2019-01-01 00:11:11,1,2.9,1,N,179,145,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,2019-01-01 05:41:11+05:30,11
1,251,2,2018-12-31 23:59:20,2019-01-01 00:09:59,6,3.52,1,N,50,41,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,2019-01-01 05:39:59+05:30,10
2,252,1,2018-12-31 23:59:16,2019-01-01 00:16:53,1,1.8,1,N,170,68,1,12.5,0.5,0.5,1.0,0.0,0.3,14.8,2019-01-01 05:46:53+05:30,17
3,253,1,2018-12-31 23:59:15,2019-01-01 00:03:07,1,0.6,1,N,264,264,1,5.0,0.5,0.5,2.25,0.0,0.3,8.55,2019-01-01 05:33:07+05:30,3
4,254,2,2018-12-31 23:59:13,2019-01-01 00:02:37,1,0.32,1,N,158,249,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2019-01-01 05:32:37+05:30,3
5,255,2,2018-12-31 23:59:12,2019-01-01 00:08:49,1,3.61,1,N,151,48,1,12.5,0.5,0.5,2.76,0.0,0.3,16.56,2019-01-01 05:38:49+05:30,9
6,256,1,2018-12-31 23:59:11,2019-01-01 00:03:38,1,0.8,1,N,264,264,1,5.0,0.5,0.5,1.55,0.0,0.3,7.85,2019-01-01 05:33:38+05:30,4
7,257,2,2018-12-31 23:59:08,2019-01-01 00:34:57,1,18.73,2,N,132,114,1,52.0,0.0,0.5,8.78,5.76,0.3,67.34,2019-01-01 06:04:57+05:30,35
8,258,1,2018-12-31 23:59:07,2019-01-01 00:29:39,1,9.1,1,N,48,127,1,33.0,0.5,0.5,10.0,0.0,0.3,44.3,2019-01-01 05:59:39+05:30,30
9,259,2,2018-12-31 23:59:03,2019-01-01 00:09:29,2,2.22,1,N,24,236,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,2019-01-01 05:39:29+05:30,10
10,260,1,2018-12-31 23:59:02,2019-01-01 00:06:17,1,0.7,1,N,142,50,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,2019-01-01 05:36:17+05:30,7
