,Unnamed: 0,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Time Series_ist,Duration
0,750,2,2018-12-31 23:51:27,2018-12-31 23:59:36,2,2.41,1,N,79,162,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,2019-01-01 05:29:36+05:30,8
1,751,1,2018-12-31 23:51:27,2019-01-01 00:01:06,1,2.0,1,N,237,143,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,2019-01-01 05:31:06+05:30,9
2,752,2,2018-12-31 23:51:26,2018-12-31 23:59:52,2,0.86,1,N,237,161,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,2019-01-01 05:29:52+05:30,8
3,753,1,2018-12-31 23:51:25,2018-12-31 23:57:16,2,1.1,1,N,229,141,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,2019-01-01 05:27:16+05:30,5
4,754,1,2018-12-31 23:51:25,2019-01-01 00:33:10,2,12.0,1,N,163,41,1,39.0,0.5,0.5,2.0,0.0,0.3,42.3,2019-01-01 06:03:10+05:30,41
5,755,2,2018-12-31 23:51:24,2019-01-01 00:10:37,5,11.05,1,N,168,259,2,31.0,0.5,0.5,0.0,0.0,0.3,32.3,2019-01-01 05:40:37+05:30,19
6,756,1,2018-12-31 23:51:23,2018-12-31 23:58:31,1,0.8,1,N,238,238,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35,2019-01-01 05:28:31+05:30,7
7,757,2,2018-12-31 23:51:23,2018-12-31 23:58:14,1,1.53,1,N,239,151,1,7.5,0.5,0.5,1.2,0.0,0.3,10.0,2019-01-01 05:28:14+05:30,6
8,758,2,2018-12-31 23:51:23,2018-12-31 23:54:15,1,0.39,1,N,141,141,1,4.0,0.5,0.5,0.53,0.0,0.3,5.83,2019-01-01 05:24:15+05:30,2
9,759,2,2018-12-31 23:51:22,2019-01-01 00:12:15,1,3.12,1,N,211,161,1,15.5,0.5,0.5,2.0,0.0,0.3,18.8,2019-01-01 05:42:15+05:30,20
10,760,2,2018-12-31 23:51:22,2018-12-31 23:55:55,6,0.63,1,N,50,246,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,2019-01-01 05:25:55+05:30,4
11,761,1,2018-12-31 23:51:21,2019-01-01 00:13:48,1,9.3,1,N,107,116,1,27.5,0.5,0.5,2.0,0.0,0.3,30.8,2019-01-01 05:43:48+05:30,22
12,762,2,2018-12-31 23:51:21,2018-12-31 23:55:34,6,0.73,1,N,238,43,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3,2019-01-01 05:25:34+05:30,4
13,763,1,2018-12-31 23:51:21,2019-01-01 00:03:59,1,1.8,1,N,158,107,1,10.0,0.5,0.5,1.7,0.0,0.3,13.0,2019-01-01 05:33:59+05:30,12
14,764,1,2018-12-31 23:51:21,2019-01-01 00:34:47,1,3.4,1,N,161,50,2,26.0,0.5,0.5,0.0,0.0,0.3,27.3,2019-01-01 06:04:47+05:30,43
15,765,1,2018-12-31 23:51:20,2018-12-31 23:54:11,1,0.4,1,N,263,263,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2019-01-01 05:24:11+05:30,2
16,766,1,2018-12-31 23:51:19,2019-01-01 00:04:11,2,7.8,1,N,138,170,1,22.0,0.5,0.5,8.7,5.76,0.3,37.76,2019-01-01 05:34:11+05:30,12
17,767,1,2018-12-31 23:51:17,2019-01-01 00:07:05,2,3.1,1,N,143,170,1,13.0,0.5,0.5,3.55,0.0,0.3,17.85,2019-01-01 05:37:05+05:30,15
18,768,2,2018-12-31 23:51:17,2018-12-31 23:53:01,1,0.51,1,N,263,141,1,3.5,0.5,0.5,0.96,0.0,0.3,5.76,2019-01-01 05:23:01+05:30,1
19,769,2,2018-12-31 23:51:15,2019-01-01 00:11:00,1,4.37,1,N,164,193,2,17.0,0.5,0.5,0.0,0.0,0.3,18.3,2019-01-01 05:41:00+05:30,19
20,770,2,2018-12-31 23:51:15,2019-01-01 00:10:36,1,5.91,1,N,234,24,1,20.0,0.5,0.5,4.26,0.0,0.3,25.56,2019-01-01 05:40:36+05:30,19
21,771,1,2018-12-31 23:51:15,2018-12-31 23:58:19,3,1.3,1,N,75,41,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95,2019-01-01 05:28:19+05:30,7
22,772,2,2018-12-31 23:51:14,2018-12-31 23:55:59,1,0.58,1,N,144,79,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56,2019-01-01 05:25:59+05:30,4
23,773,2,2018-12-31 23:51:13,2018-12-31 23:55:11,1,0.88,1,N,142,239,1,5.0,0.5,0.5,1.89,0.0,0.3,8.19,2019-01-01 05:25:11+05:30,3
24,774,2,2018-12-31 23:51:13,2019-01-01 00:09:04,1,5.15,1,N,234,54,1,17.5,0.5,0.5,3.76,0.0,0.3,22.56,2019-01-01 05:39:04+05:30,17
25,775,2,2018-12-31 23:51:12,2019-01-01 00:00:12,1,2.15,1,N,238,43,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,2019-01-01 05:30:12+05:30,9
26,776,2,2018-12-31 23:51:12,2019-01-01 00:05:16,3,3.28,1,N,140,41,1,13.0,0.5,0.5,3.58,0.0,0.3,19.83,2019-01-01 05:35:16+05:30,14
27,777,1,2018-12-31 23:51:10,2018-12-31 23:59:29,1,1.7,1,N,211,79,1,8.5,0.5,0.5,1.95,0.0,0.3,11.75,2019-01-01 05:29:29+05:30,8
28,778,1,2018-12-31 23:51:10,2018-12-31 23:58:14,1,1.2,1,N,148,114,1,7.0,0.5,0.5,5.0,0.0,0.3,13.3,2019-01-01 05:28:14+05:30,7
29,779,1,2018-12-31 23:51:09,2018-12-31 23:56:45,2,0.8,1,N,125,144,1,5.5,0.5,0.5,2.0,0.0,0.3,8.8,2019-01-01 05:26:45+05:30,5
30,780,2,2018-12-31 23:51:09,2018-12-31 23:58:03,1,0.84,1,N,158,90,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2019-01-01 05:28:03+05:30,6
31,781,2,2018-12-31 23:51:08,2019-01-01 00:12:27,1,4.37,1,N,243,167,1,17.5,0.5,0.5,0.0,0.0,0.3,18.8,2019-01-01 05:42:27+05:30,21
32,782,1,2018-12-31 23:51:08,2019-01-01 00:06:10,2,7.8,1,N,138,255,1,22.5,0.5,0.5,2.5,0.0,0.3,26.3,2019-01-01 05:36:10+05:30,15
33,783,2,2018-12-31 23:51:07,2018-12-31 23:58:25,6,1.33,1,N,74,152,1,7.0,0.5,0.5,2.49,0.0,0.3,10.79,2019-01-01 05:28:25+05:30,7
34,784,1,2018-12-31 23:51:06,2019-01-01 00:13:18,1,8.0,1,N,138,41,1,25.0,0.5,0.5,6.4,5.76,0.3,38.46,2019-01-01 05:43:18+05:30,22
35,785,2,2018-12-31 23:51:06,2018-12-31 23:53:28,1,0.64,1,N,238,151,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,2019-01-01 05:23:28+05:30,2
36,786,1,2018-12-31 23:51:06,2019-01-01 00:05:09,2,4.2,1,N,79,140,1,14.0,0.5,0.5,3.8,0.0,0.3,19.1,2019-01-01 05:35:09+05:30,14
37,787,1,2018-12-31 23:51:04,2019-01-01 00:19:49,1,2.6,1,N,48,234,1,17.5,0.5,0.5,3.75,0.0,0.3,22.55,2019-01-01 05:49:49+05:30,28
38,788,2,2018-12-31 23:51:04,2019-01-01 00:00:02,5,0.78,1,N,186,246,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96,2019-01-01 05:30:02+05:30,8
39,789,2,2018-12-31 23:51:04,2018-12-31 23:57:15,1,0.31,1,N,48,48,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,2019-01-01 05:27:15+05:30,6
40,790,2,2018-12-31 23:51:03,2018-12-31 23:59:50,6,2.68,1,N,142,166,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,2019-01-01 05:29:50+05:30,8
41,791,2,2018-12-31 23:51:03,2018-12-31 23:54:14,1,0.31,1,N,164,164,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2019-01-01 05:24:14+05:30,3
42,792,2,2018-12-31 23:51:02,2018-12-31 23:58:47,2,0.86,1,N,170,137,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,2019-01-01 05:28:47+05:30,7
43,793,1,2018-12-31 23:51:02,2019-01-01 00:03:24,1,2.4,1,N,170,79,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,2019-01-01 05:33:24+05:30,12
44,794,2,2018-12-31 23:51:01,2018-12-31 23:56:19,1,0.3,1,N,48,163,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,2019-01-01 05:26:19+05:30,5
45,795,2,2018-12-31 23:51:01,2018-12-31 23:55:40,1,0.48,1,N,79,79,1,4.5,0.5,0.5,1.45,0.0,0.3,7.25,2019-01-01 05:25:40+05:30,4
46,796,2,2018-12-31 23:51:00,2019-01-01 00:00:29,1,1.34,1,N,114,231,1,7.5,0.5,0.5,0.5,0.0,0.3,9.3,2019-01-01 05:30:29+05:30,9
47,797,2,2018-12-31 23:51:00,2018-12-31 23:54:49,1,0.96,1,N,65,97,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,2019-01-01 05:24:49+05:30,3
48,798,2,2018-12-31 23:50:59,2019-01-01 00:09:13,1,2.54,1,N,142,234,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8,2019-01-01 05:39:13+05:30,18
49,799,2,2018-12-31 23:50:59,2018-12-31 23:52:40,1,0.25,1,N,249,249,1,3.0,0.5,0.5,0.86,0.0,0.3,5.16,2019-01-01 05:22:40+05:30,1
50,800,1,2018-12-31 23:50:59,2018-12-31 23:53:35,1,0.3,1,Y,144,148,4,3.5,0.5,0.5,0.0,0.0,0.3,4.8,2019-01-01 05:23:35+05:30,2
51,801,1,2018-12-31 23:50:58,2019-01-01 00:04:34,3,3.5,1,N,249,141,1,13.0,0.5,0.5,4.25,0.0,0.3,18.55,2019-01-01 05:34:34+05:30,13
52,802,2,2018-12-31 23:50:56,2019-01-01 00:15:37,1,4.8,1,N,236,249,2,19.5,0.5,0.5,0.0,0.0,0.3,20.8,2019-01-01 05:45:37+05:30,24
53,803,1,2018-12-31 23:50:56,2018-12-31 23:50:56,1,0.0,1,N,262,264,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8,2019-01-01 05:20:56+05:30,0
54,804,2,2018-12-31 23:50:55,2018-12-31 23:56:44,1,0.91,1,N,239,143,1,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2019-01-01 05:26:44+05:30,5
55,805,1,2018-12-31 23:50:55,2019-01-01 00:40:37,2,11.4,1,N,48,134,2,43.0,0.5,0.5,0.0,5.76,0.3,50.06,2019-01-01 06:10:37+05:30,49
56,806,2,2018-12-31 23:50:55,2018-12-31 23:52:29,6,0.2,1,N,189,49,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,2019-01-01 05:22:29+05:30,1
57,807,2,2018-12-31 23:50:54,2018-12-31 23:53:57,1,0.47,1,N,246,68,1,4.0,0.5,0.5,1.06,0.0,0.3,6.36,2019-01-01 05:23:57+05:30,3
58,808,1,2018-12-31 23:50:53,2018-12-31 23:54:19,1,0.5,1,N,164,170,1,4.5,0.5,0.5,1.15,0.0,0.3,6.95,2019-01-01 05:24:19+05:30,3
59,809,2,2018-12-31 23:50:53,2019-01-01 00:01:12,1,0.95,1,N,170,234,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,2019-01-01 05:31:12+05:30,10
60,810,1,2018-12-31 23:50:53,2018-12-31 23:57:37,1,1.1,1,N,237,141,1,6.5,0.5,0.5,2.3,0.0,0.3,10.1,2019-01-01 05:27:37+05:30,6
61,811,1,2018-12-31 23:50:52,2019-01-01 00:05:00,2,3.7,1,N,229,232,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8,2019-01-01 05:35:00+05:30,14
62,812,2,2018-12-31 23:50:51,2019-01-01 00:07:08,1,3.73,1,N,229,238,1,14.5,0.5,0.5,3.16,0.0,0.3,18.96,2019-01-01 05:37:08+05:30,16
63,813,2,2018-12-31 23:50:51,2018-12-31 23:53:30,2,0.28,1,N,249,113,1,3.0,0.5,0.5,0.86,0.0,0.3,5.16,2019-01-01 05:23:30+05:30,2
64,814,2,2018-12-31 23:50:49,2019-01-01 00:07:47,1,2.32,1,N,158,148,1,12.5,0.5,0.5,3.45,0.0,0.3,17.25,2019-01-01 05:37:47+05:30,16
65,815,2,2018-12-31 23:50:49,2018-12-31 23:58:08,2,1.16,1,N,90,246,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36,2019-01-01 05:28:08+05:30,7
66,816,1,2018-12-31 23:50:49,2019-01-01 00:17:48,1,2.7,1,N,79,68,1,17.5,0.5,0.5,4.7,0.0,0.3,23.5,2019-01-01 05:47:48+05:30,26
67,817,1,2018-12-31 23:50:48,2018-12-31 23:59:09,1,1.0,1,N,114,79,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95,2019-01-01 05:29:09+05:30,8
68,818,1,2018-12-31 23:50:47,2019-01-01 00:21:49,1,2.1,1,N,170,50,1,18.5,0.5,0.5,0.0,0.0,0.3,19.8,2019-01-01 05:51:49+05:30,31
69,819,2,2018-12-31 23:50:47,2018-12-31 23:58:43,1,1.46,1,N,107,4,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,2019-01-01 05:28:43+05:30,7
70,820,1,2018-12-31 23:50:46,2019-01-01 00:06:53,1,4.4,1,N,107,262,1,16.5,0.5,0.5,4.45,0.0,0.3,22.25,2019-01-01 05:36:53+05:30,16
71,821,1,2018-12-31 23:50:46,2019-01-01 00:15:59,1,16.8,2,N,132,233,1,52.0,0.0,0.5,11.7,5.76,0.3,70.26,2019-01-01 05:45:59+05:30,25
