,Unnamed: 0,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,location
0,750,2,2018-12-31T23:51:27.000,2018-12-31T23:59:36.000,2,2.41,1,N,79,162,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,Noida Sec-4
1,751,1,2018-12-31T23:51:27.000,2019-01-01T00:01:06.000,1,2.0,1,N,237,143,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,Noida Sec-2
2,752,2,2018-12-31T23:51:26.000,2018-12-31T23:59:52.000,2,0.86,1,N,237,161,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,Noida Sec-2
3,753,1,2018-12-31T23:51:25.000,2018-12-31T23:57:16.000,2,1.1,1,N,229,141,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,Noida Sec-18
4,754,1,2018-12-31T23:51:25.000,2019-01-01T00:33:10.000,2,12.0,1,N,163,41,1,39.0,0.5,0.5,2.0,0.0,0.3,42.3,Noida Sec-13
5,755,2,2018-12-31T23:51:24.000,2019-01-01T00:10:37.000,5,11.05,1,N,168,259,2,31.0,0.5,0.5,0.0,0.0,0.3,32.3,Noida Sec-59
6,756,1,2018-12-31T23:51:23.000,2018-12-31T23:58:31.000,1,0.8,1,N,238,238,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35,Noida Sec-15
7,757,2,2018-12-31T23:51:23.000,2018-12-31T23:58:14.000,1,1.53,1,N,239,151,1,7.5,0.5,0.5,1.2,0.0,0.3,10.0,Noida Sec-27
8,758,2,2018-12-31T23:51:23.000,2018-12-31T23:54:15.000,1,0.39,1,N,141,141,1,4.0,0.5,0.5,0.53,0.0,0.3,5.83,Noida Sec-25
9,759,2,2018-12-31T23:51:22.000,2019-01-01T00:12:15.000,1,3.12,1,N,211,161,1,15.5,0.5,0.5,2.0,0.0,0.3,18.8,Noida Sec-35
10,760,2,2018-12-31T23:51:22.000,2018-12-31T23:55:55.000,6,0.63,1,N,50,246,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,Noida Sec-17
11,761,1,2018-12-31T23:51:21.000,2019-01-01T00:13:48.000,1,9.3,1,N,107,116,1,27.5,0.5,0.5,2.0,0.0,0.3,30.8,Noida Sec-50
12,762,2,2018-12-31T23:51:21.000,2018-12-31T23:55:34.000,6,0.73,1,N,238,43,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3,Noida Sec-15
